place_id,place_name,place_type,latitude,longitude,risk_level,zone_name,area_or_population,conflict_risk,safety_action,map_geometry,notes,boundary_1,boundary_2,boundary_3,boundary_4,boundary_5,boundary_6
SF001,East Village,Settlement,26.5624,93.1905,High,Village Edge,850 residents,Elephant movement,Send village warning,POINT,Near elephant activity,,,,,,
SF002,West Village,Settlement,26.5538,93.2012,High,Village Edge,620 residents,Leopard activity,Inform residents,POINT,Near forest boundary,,,,,,
SF003,South Village,Settlement,26.557,93.204,Medium,Buffer Zone,430 residents,Wildlife movement,Routine monitoring,POINT,Near safari route,,,,,,
SF004,North Farm,Farmland,26.5771,93.1712,High,Buffer Zone,18 hectares,Crop raid,Install fencing,POINT,Rice and maize crops,,,,,,
SF005,South Farm,Farmland,26.5698,93.1821,Medium,Buffer Zone,12 hectares,Wild boar activity,Schedule patrol,POINT,Seasonal crops,,,,,,
SF006,East Farm,Farmland,26.555,93.201,High,Village Edge,15 hectares,Elephant crop raid,Warn farmers,POINT,Close to village,,,,,,
SF007,West Farm,Farmland,26.568,93.199,Medium,Farmland Edge,10 hectares,Wild boar activity,Improve fencing,POINT,Regular animal movement,,,,,,
SF008,Ranger Colony,Settlement,26.5944,93.1498,Low,Buffer Zone,35 staff members,Low,Maintain patrol station,POINT,Near forest road,,,,,,
SF009,Forest Road Settlement,Settlement,26.5902,93.1554,Medium,Core Zone Edge,210 residents,Road crossing,Add warning signs,POINT,Near rhinoceros route,,,,,,
SF010,Riverbank Hamlet,Settlement,26.581,93.176,Medium,Buffer Zone,300 residents,Elephant movement,Monitor at night,POINT,Near water source,,,,,,
SF011,North Village,Settlement,26.575,93.168,Medium,Buffer Zone,540 residents,Elephant movement,Community warning,POINT,Near forest boundary,,,,,,
SF012,Lakeview Village,Settlement,26.583,93.185,Low,Buffer Zone,320 residents,Low wildlife activity,Routine monitoring,POINT,Near water body,,,,,,
SF013,Forest Edge Colony,Settlement,26.565,93.175,High,Village Edge,275 residents,Wild boar activity,Install warning lights,POINT,Frequent night movement,,,,,,
SF014,Riverside Hamlet,Settlement,26.6,93.195,Medium,Core Zone Edge,190 residents,Animal water movement,Monitor river crossing,POINT,Near river,,,,,,
SF015,Watchtower Village,Settlement,26.59,93.165,Low,Buffer Zone,410 residents,Deer movement,Routine monitoring,POINT,Near watchtower,,,,,,
SF016,Central Forest Colony,Settlement,26.58,93.175,High,Buffer Zone,680 residents,Elephant and leopard activity,Ranger patrol,POINT,Multiple animal zones nearby,,,,,,
SF017,Hilltop Village,Settlement,26.605,93.18,Medium,Buffer Zone,250 residents,Wild boar activity,Improve boundary fencing,POINT,Near forest road,,,,,,
SF018,South Gate Village,Settlement,26.55,93.21,High,Village Edge,720 residents,Elephant movement,Night patrol,POINT,Near safari entrance,,,,,,
SF019,Bamboo Village,Settlement,26.57,93.205,Medium,Buffer Zone,360 residents,Elephant activity,Issue safety notice,POINT,Near bamboo forest,,,,,,
SF020,Old Forest Village,Settlement,26.545,93.175,High,Core Zone Edge,180 residents,Leopard activity,Restrict night movement,POINT,Near protected area,,,,,,
SF021,East Rice Farm,Farmland,26.575,93.195,High,Farmland Edge,20 hectares,Elephant crop raid,Install solar fencing,POINT,Rice crops,,,,,,
SF022,Green Maize Farm,Farmland,26.585,93.205,Medium,Buffer Zone,14 hectares,Wild boar activity,Improve fencing,POINT,Maize crops,,,,,,
SF023,Riverbank Crop Field,Farmland,26.595,93.185,Medium,Core Zone Edge,9 hectares,Buffalo movement,Ranger monitoring,POINT,Near river,,,,,,
SF024,South Rice Farm,Farmland,26.55,93.195,High,Village Edge,18 hectares,Elephant crop raid,Warn farmers,POINT,Repeated crop damage,,,,,,
SF025,Bamboo Plantation,Farmland,26.56,93.18,Medium,Buffer Zone,11 hectares,Elephant feeding,Add boundary signs,POINT,Near feeding area,,,,,,
SF026,West Vegetable Farm,Farmland,26.548,93.2,Medium,Village Edge,8 hectares,Wild boar activity,Protective fencing,POINT,Vegetable crops,,,,,,
SF027,Watermelon Field,Farmland,26.605,93.17,Low,Buffer Zone,7 hectares,Low wildlife activity,Routine monitoring,POINT,Seasonal farming area,,,,,,
SF028,Sugarcane Farm,Farmland,26.565,93.21,High,Village Edge,16 hectares,Elephant activity,Start night patrol,POINT,Near settlement,,,,,,
SF029,Cornfield North,Farmland,26.59,93.175,Medium,Buffer Zone,13 hectares,Wild boar activity,Install motion lights,POINT,Crop damage possible,,,,,,
SF030,Community Farm Area,Farmland,26.555,93.215,High,Village Edge,25 hectares,Elephant and deer activity,Community patrol,POINT,Shared farming area,,,,,,
ZN001,Core Wildlife Zone,Core Zone,26.585,93.175,Critical,Core Zone,Protected habitat,Human access restricted,Ranger permission required,POLYGON,Main wildlife protection area,"26.6000,93.1450","26.6000,93.2050","26.5700,93.2150","26.5600,93.1750","26.5750,93.1450","26.6000,93.1450"
ZN002,Buffer Protection Zone,Buffer Zone,26.57,93.19,High,Buffer Zone,Controlled-access habitat,Animal movement near farms,Increase patrols,POLYGON,Transition area around core zone,"26.6150,93.1350","26.6150,93.2200","26.5450,93.2300","26.5400,93.1600","26.5600,93.1350","26.6150,93.1350"
