incident_id,date,time,type,location,species,severity,outcome,reported_by,status,camera_id,latitude,longitude
CI001,2026-08-20,6:30,Crop Raid,North Farm,Asian Elephant,High,Crops damaged,Farmer,Resolved,CAM005,26.5624,93.1905
CI002,2026-08-20,21:15,Animal Near Village,East Village,Asian Elephant,High,Villagers alerted,Camera AI,Resolved,CAM009,26.5538,93.2012
CI003,2026-08-21,14:20,Animal Crossing Road,Forest Road 2,Indian Rhinoceros,Medium,Traffic stopped,Ranger,Resolved,CAM004,26.5902,93.1554
CI004,2026-08-21,23:40,Poaching-like Activity,Core Zone Gate 3,Unknown,High,Patrol dispatched,Camera AI,Under Review,CAM012,26.5459,93.1845
CI005,2026-08-22,8:10,Crop Raid,South Farm,Wild Boar,Medium,Fencing requested,Villager,Open,CAM003,26.5698,93.1821
CI006,2026-08-22,19:35,Animal Near Village,West Village,Leopard,High,Residents warned,Ranger,Resolved,CAM012,26.5459,93.1845
CI007,2026-08-23,1:20,Poaching-like Activity,Core Zone 2,Unknown,Critical,Forest team alerted,Camera AI,Under Review,CAM015,26.6032,93.1685
CI008,2026-08-23,16:45,Animal Crossing Road,Safari Route B,Asian Elephant,High,Safari route changed,Driver,Resolved,CAM014,26.5587,93.2076
CI009,2026-08-24,7:55,Crop Raid,North Farm,Indian Rhinoceros,High,Compensation process started,Villager,Open,CAM004,26.5902,93.1554
CI010,2026-08-25,22:10,Unauthorized Vehicle,Buffer Zone Road,Unknown,High,Vehicle reported,Ranger,Open,CAM010,26.5944,93.1498
CI011,2026-08-26,6:30,Crop Raid,North Farm,Asian Elephant,High,Crops damaged,Farmer,Open,CAM019,26.581,93.176
CI012,2026-08-26,7:15,Animal Near Village,East Village,Asian Elephant,High,Villagers alerted,Camera AI,Resolved,CAM024,26.555,93.201
CI013,2026-08-26,8:40,Animal Crossing Road,Forest Road 2,Indian Rhinoceros,Medium,Traffic stopped,Ranger,Resolved,CAM021,26.592,93.158
CI014,2026-08-26,9:20,Poaching-like Activity,Core Zone Gate 3,Unknown,Critical,Patrol dispatched,Camera AI,Under Review,CAM028,26.548,93.185
CI015,2026-08-26,10:05,Crop Raid,South Farm,Wild Boar,Medium,Minor crop damage,Farmer,Open,CAM023,26.571,93.181
CI016,2026-08-26,11:45,Animal Near Village,West Village,Asian Elephant,High,Residents warned,Ranger,Resolved,CAM032,26.552,93.214
CI017,2026-08-26,13:10,Poaching-like Activity,Core Zone 2,Unknown,Critical,Investigation started,Camera AI,Under Review,CAM034,26.557,93.204
CI018,2026-08-26,14:30,Animal Crossing Road,Safari Route B,Asian Elephant,High,Safari route changed,Safari Driver,Resolved,CAM027,26.56,93.207
CI019,2026-08-26,16:00,Crop Raid,North Farm,Wild Boar,Medium,Fencing requested,Villager,Open,CAM031,26.568,93.199
CI020,2026-08-26,18:45,Unauthorized Vehicle,Buffer Zone Road,Unknown,High,Vehicle reported,Ranger,Open,CAM030,26.595,93.15
CI021,2026-08-27,6:50,Animal Near Village,South Village,Leopard,Critical,Residents evacuated,Ranger,Under Review,CAM034,26.557,93.204
CI022,2026-08-27,8:25,Crop Raid,East Farm,Asian Elephant,High,Crops damaged,Farmer,Open,CAM024,26.555,93.201
CI023,2026-08-27,10:10,Animal Crossing Road,Forest Road 1,Wild Boar,Medium,Road monitored,Camera AI,Resolved,CAM037,26.57,93.188
CI024,2026-08-27,12:35,Poaching-like Activity,Western Gate,Unknown,Critical,Security team alerted,Camera AI,Under Review,CAM028,26.548,93.185
CI025,2026-08-27,15:20,Unauthorized Vehicle,Core Zone Road,Unknown,High,Vehicle stopped,Ranger,Resolved,CAM030,26.595,93.15
