record_id,map_id,source_type,source_id,location_name,latitude,longitude,zone,route,maps_link,location_status,species,wkt,quality_flag
ANIMAL-001,MAP001,Animal Sighting,AS001,,26.5771,93.1712,buffer zone,,View Map,,Asian Elephant,POINT (93.1712 26.5771),
ANIMAL-002,MAP002,Animal Sighting,AS002,,26.5814,93.1658,core zone,,View Map,,Spotted Deer,POINT (93.1658 26.5814),
ANIMAL-003,MAP003,Animal Sighting,AS003,,26.5698,93.1821,buffer zone,,View Map,,Wild Boar,POINT (93.1821 26.5698),
ANIMAL-004,MAP004,Animal Sighting,AS004,,26.5902,93.1554,core zone,,View Map,,Indian Rhinocerous,POINT (93.1554 26.5902),
ANIMAL-005,MAP005,Animal Sighting,AS005,,26.5624,93.1905,village edge,,View Map,,Asian Elephant,POINT (93.1905 26.5624),
ANIMAL-006,MAP006,Animal Sighting,AS006,,26.5867,93.1764,core zone,,View Map,,Spotted Deer,POINT (93.1764 26.5867),
ANIMAL-007,MAP007,Animal Sighting,AS007,,26.5742,93.1619,buffer zone,,View Map,,Golden Jackal,POINT (93.1619 26.5742),
ANIMAL-008,MAP008,Animal Sighting,AS008,,26.6011,93.1887,core zone,,View Map,,Wild Water Buffalo,POINT (93.1887 26.6011),
ANIMAL-009,MAP009,Animal Sighting,AS009,,26.5538,93.2012,village edge,,View Map,,Asian Elephant,POINT (93.2012 26.5538),
ANIMAL-010,MAP010,Animal Sighting,AS010,,26.5944,93.1498,core zone,,View Map,,Indian Rhinocerous,POINT (93.1498 26.5944),
ANIMAL-011,MAP011,Animal Sighting,AS011,,26.5681,93.1733,buffer zone,,View Map,,Wild Boar,POINT (93.1733 26.5681),
ANIMAL-012,MAP012,Animal Sighting,AS012,,26.5459,93.1845,buffer zone,,View Map,,Leopard,POINT (93.1845 26.5459),
ANIMAL-013,MAP013,Animal Sighting,AS013,,26.5793,93.1941,core zone,,View Map,,Spotted Deer,POINT (93.1941 26.5793),
ANIMAL-014,MAP014,Animal Sighting,AS014,,26.5587,93.2076,village edge,,View Map,,Asian Elephant,POINT (93.2076 26.5587),
ANIMAL-015,MAP015,Animal Sighting,AS015,,26.6032,93.1685,core zone,,View Map,,Indian Rhinocerous,POINT (93.1685 26.6032),
ANIMAL-016,MAP016,Animal Sighting,AS016,,26.5726,93.1988,buffer zone,,View Map,,Wild Boar,POINT (93.1988 26.5726),
ANIMAL-017,MAP017,Animal Sighting,AS017,,26.5883,93.1842,core zone,,View Map,,Golden Jackal,POINT (93.1842 26.5883),
ANIMAL-018,MAP018,Animal Sighting,AS018,,26.5512,93.214,village edge,,View Map,,Asian Elephant,POINT (93.214 26.5512),
ANIMAL-019,MAP019,Animal Sighting,AS019,,26.581,93.176,buffer zone,,View Map,,Asian Elephant,POINT (93.176 26.581),
ANIMAL-020,MAP020,Animal Sighting,AS020,,26.586,93.165,core zone,,View Map,,Spotted Deer,POINT (93.165 26.586),
ANIMAL-021,MAP021,Animal Sighting,AS021,,26.592,93.158,core zone,,View Map,,Indian Rhinocerous,POINT (93.158 26.592),
ANIMAL-022,MAP022,Animal Sighting,AS022,,26.563,93.191,village edge,,View Map,,Leopard,POINT (93.191 26.563),
ANIMAL-023,MAP023,Animal Sighting,AS023,,26.571,93.181,buffer zone,,View Map,,Wild Boar,POINT (93.181 26.571),
ANIMAL-024,MAP024,Animal Sighting,AS024,,26.555,93.201,village edge,,View Map,,Asian Elephant,POINT (93.201 26.555),
ANIMAL-025,MAP025,Animal Sighting,AS025,,26.601,93.188,core zone,,View Map,,Wild Water Buffalo,POINT (93.188 26.601),
ANIMAL-026,MAP026,Animal Sighting,AS026,,26.574,93.162,buffer zone,,View Map,,Golden Jackal,POINT (93.162 26.574),
ANIMAL-027,MAP027,Animal Sighting,AS027,,26.56,93.207,Safari route edge,,View Map,,Asian Elephant,POINT (93.207 26.56),
ANIMAL-028,MAP028,Animal Sighting,AS028,,26.548,93.185,buffer zone,,View Map,,Leopard,POINT (93.185 26.548),
ANIMAL-029,MAP029,Animal Sighting,AS029,,26.58,93.195,core zone,,View Map,,Spotted Deer,POINT (93.195 26.58),
ANIMAL-030,MAP030,Animal Sighting,AS030,,26.595,93.15,core zone,,View Map,,Indian Rhinocerous,POINT (93.15 26.595),
ANIMAL-031,MAP031,Animal Sighting,AS031,,26.568,93.199,farmland edge,,View Map,,Wild Boar,POINT (93.199 26.568),
ANIMAL-032,MAP032,Animal Sighting,AS032,,26.552,93.214,village edge,,View Map,,Asian Elephant,POINT (93.214 26.552),
ANIMAL-033,MAP033,Animal Sighting,AS033,,26.603,93.169,core zone,,View Map,,Wild Water Buffalo,POINT (93.169 26.603),
ANIMAL-034,MAP034,Animal Sighting,AS034,,26.557,93.204,village edge,,View Map,,Leopard,POINT (93.204 26.557),
ANIMAL-035,MAP035,Animal Sighting,AS035,,26.575,93.174,buffer zone,,View Map,,Spotted Deer,POINT (93.174 26.575),
ANIMAL-036,MAP036,Animal Sighting,AS036,,26.565,93.193,farmland edge,,View Map,,Asian Elephant,POINT (93.193 26.565),
ANIMAL-037,MAP037,Animal Sighting,AS037,,26.57,93.188,farmland edge,,View Map,,Wild Boar,POINT (93.188 26.57),duplicate source_id
ANIMAL-038,MAP037,Animal Sighting,AS037,,26.584,93.178,core zone,,View Map,,Spotted Deer,POINT (93.178 26.584),duplicate source_id
ANIMAL-039,,,,,26.593833,93.1382024,,,,,Point 39,POINT (93.1382024 26.593833),missing source_id
