global_leg_sequence,route_id,route_leg_sequence,booking_id,start_booking_reference,start_point_name,start_latitude,start_longitude,end_point_name,end_latitude,end_longitude,end_wkt,safari_zone,zone_type,data_status,source
1,R001,1,SB001,,Bagori Safari Gate,26.5746616,93.2251508,Bagori Route Point 1,26.57159,93.21761,POINT (93.21761 26.57159),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
2,R001,2,SB002,SB001,Bagori Route Point 1,26.57159,93.21761,Bagori Route Point 2,26.57767,93.21888,POINT (93.21888 26.57767),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
3,R001,3,SB003,SB002,Bagori Route Point 2,26.57767,93.21888,Bagori Route Point 3,26.57582,93.20039,POINT (93.20039 26.57582),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
4,R001,4,SB004,SB003,Bagori Route Point 3,26.57582,93.20039,Bagori Route Point 4,26.56799,93.20597,POINT (93.20597 26.56799),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
5,R001,5,SB005,SB004,Bagori Route Point 4,26.56799,93.20597,Bagori Route Point 5,26.57456,93.19604,POINT (93.19604 26.57456),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
6,R001,6,SB006,SB005,Bagori Route Point 5,26.57456,93.19604,Bagori Route Point 6,26.5728,93.18702,POINT (93.18702 26.5728),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
7,R001,7,SB007,SB006,Bagori Route Point 6,26.5728,93.18702,Bagori Route Point 7,26.56464,93.20261,POINT (93.20261 26.56464),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
8,R001,8,SB008,SB007,Bagori Route Point 7,26.56464,93.20261,Bagori Route Point 8,26.55282,93.20803,POINT (93.20803 26.55282),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
9,R001,9,SB009,SB008,Bagori Route Point 8,26.55282,93.20803,Bagori Route Point 9,26.56698,93.17656,POINT (93.17656 26.56698),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
10,R002,1,SB010,SB009,Bagori Route Point 9,26.56698,93.17656,Bagori Route Point 10,26.56107,93.17342,POINT (93.17342 26.56107),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
11,R002,2,SB011,SB010,Bagori Route Point 10,26.56107,93.17342,Bagori Route Point 11,26.55782,93.16354,POINT (93.16354 26.55782),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
12,R002,3,SB012,SB011,Bagori Route Point 11,26.55782,93.16354,Bagori Route Point 12,26.56802,93.15177,POINT (93.15177 26.56802),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
13,R002,4,SB013,SB012,Bagori Route Point 12,26.56802,93.15177,Bagori Route Point 13,26.56971,93.13975,POINT (93.13975 26.56971),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
14,R002,5,SB014,SB013,Bagori Route Point 13,26.56971,93.13975,Bagori Route Point 14,26.55112,93.15839,POINT (93.15839 26.55112),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
15,R002,6,SB015,SB014,Bagori Route Point 14,26.55112,93.15839,Bagori Route Point 15,26.56262,93.1483,POINT (93.1483 26.56262),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
16,R003,1,SB016,SB015,Bagori Route Point 15,26.56262,93.1483,Bagori Route Point 16,26.56337,93.22176,POINT (93.22176 26.56337),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
17,R003,2,SB017,SB016,Bagori Route Point 16,26.56337,93.22176,Bagori Route Point 17,26.5534,93.22502,POINT (93.22502 26.5534),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
18,R003,3,SB018,SB017,Bagori Route Point 17,26.5534,93.22502,Bagori Route Point 18,26.54624,93.222,POINT (93.222 26.54624),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
19,R003,4,SB019,SB018,Bagori Route Point 18,26.54624,93.222,Bagori Route Point 19,26.53979,93.22269,POINT (93.22269 26.53979),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
20,R003,5,SB020,SB019,Bagori Route Point 19,26.53979,93.22269,Bagori Route Point 20,26.5357,93.21219,POINT (93.21219 26.5357),Western/Bagori,Core prototype,Prototype coordinate,Derived from START + END files and route chaining shown in screenshots
