record_id,map_id,source_type,source_id,location_name,latitude,longitude,zone,maps_link,location_status,species,wkt
HOTSPOT-001,CI-MAP-001,Confilt Incident,CI001,North Farm,26.5624,93.1905,,View Map,Pending,Asian Elephant,POINT (93.1905 26.5624)
HOTSPOT-002,CI-MAP-002,Confilt Incident,CI002,East Village ,26.5538,93.2012,,View Map,,Asian Elephant,POINT (93.2012 26.5538)
HOTSPOT-003,CI-MAP-003,Confilt Incident,CI003,Forest Road 2,26.5902,93.1554,,View Map,,Indian Rhinoceros,POINT (93.1554 26.5902)
HOTSPOT-004,CI-MAP-004,Confilt Incident,CI004,Core Zone Gate 3,26.5459,93.1845,,View Map,,Unknown,POINT (93.1845 26.5459)
HOTSPOT-005,CI-MAP-005,Confilt Incident,CI005,South Farm,26.5698,93.1821,,View Map,,Wild Boar,POINT (93.1821 26.5698)
HOTSPOT-006,CI-MAP-006,Confilt Incident,CI006,West Village,26.5459,93.1845,,View Map,,Leopard,POINT (93.1845 26.5459)
HOTSPOT-007,CI-MAP-007,Confilt Incident,CI007,Core Zone 2,26.6032,93.1685,,View Map,,Unknown,POINT (93.1685 26.6032)
HOTSPOT-008,CI-MAP-008,Confilt Incident,CI008,safari Route B,26.5587,93.2076,,View Map,,Asian Elephant,POINT (93.2076 26.5587)
HOTSPOT-009,CI-MAP-009,Confilt Incident,CI009,North Farm,26.5902,93.1554,,View Map,,Indian Rhinoceros,POINT (93.1554 26.5902)
HOTSPOT-010,CI-MAP-010,Confilt Incident,CI010,Buffer Zone Road,26.5944,93.1498,,View Map,,Unknown,POINT (93.1498 26.5944)
HOTSPOT-011,CI-MAP-011,Confilt Incident,CI011,North Farm,26.581,93.176,,View Map,,Asian Elephant,POINT (93.176 26.581)
HOTSPOT-012,CI-MAP-012,Confilt Incident,CI012,East Village ,26.555,93.201,,View Map,,Asian Elephant,POINT (93.201 26.555)
HOTSPOT-013,CI-MAP-013,Confilt Incident,CI013,Forest Road 2,26.592,93.158,,View Map,,Indian Rhinoceros,POINT (93.158 26.592)
HOTSPOT-014,CI-MAP-014,Confilt Incident,CI014,Core Zone Gate 3,26.548,93.185,,View Map,,Unknown,POINT (93.185 26.548)
HOTSPOT-015,CI-MAP-015,Confilt Incident,CI015,South Farm,26.571,93.181,,View Map,,Wild Boar,POINT (93.181 26.571)
HOTSPOT-016,CI-MAP-016,Confilt Incident,CI016,West Village,26.552,93.214,,View Map,,Asian Elephant,POINT (93.214 26.552)
HOTSPOT-017,CI-MAP-017,Confilt Incident,CI017,Core Zone 2,26.557,93.204,,View Map,,Unknown,POINT (93.204 26.557)
HOTSPOT-018,CI-MAP-018,Confilt Incident,CI018,safari Route B,26.56,93.207,,View Map,,Asian Elephant,POINT (93.207 26.56)
HOTSPOT-019,CI-MAP-019,Confilt Incident,CI019,North Farm,26.568,93.199,,View Map,,Wild Boar,POINT (93.199 26.568)
HOTSPOT-020,CI-MAP-020,Confilt Incident,CI020,Buffer Zone Road,26.595,93.15,,View Map,,Unknown,POINT (93.15 26.595)
HOTSPOT-021,CI-MAP-021,Confilt Incident,CI021,South Farm,26.557,93.204,,View Map,,Leopard,POINT (93.204 26.557)
HOTSPOT-022,CI-MAP-022,Confilt Incident,CI022,East Village ,26.555,93.201,,View Map,,Asian Elephant,POINT (93.201 26.555)
HOTSPOT-023,CI-MAP-023,Confilt Incident,CI023,Forest Road 2,26.57,93.188,,View Map,,Wild Boar,POINT (93.188 26.57)
HOTSPOT-024,CI-MAP-025,Confilt Incident,CI025,Core Zone Road,26.595,93.15,,View Map,,Unknown,POINT (93.15 26.595)
