booking_id,booking_date,start_time,safari_range,vehicle_id,driver_name,guide_name,tourist_count,visitor_contact,start_place,destination_place,travel_mode,route_status,wildlife_alert,safety_status,booking_status,route_link,notes
SB001,2026-08-30,6:00,Kohora Central Range,VH001,Driver A,Guide A,5,Demo Contact 001,Kohora Safari Gate,Verified Kohora Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Use real road route
SB002,2026-08-30,6:15,Kohora Central Range,VH002,Driver B,Guide B,4,Demo Contact 002,Kohora Safari Gate,Kathpora Viewing Point,Driving,Verify in Google Maps,Yes,Animal Activity Nearby,Confirmed,Paste verified link,Check wildlife alert
SB003,2026-08-30,6:30,Kohora Central Range,VH003,Driver C,Guide C,6,Demo Contact 003,Kohora Safari Gate,Diphlu River Bank Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Confirm road availability
SB004,2026-08-30,6:45,Kohora Central Range,VH004,Driver D,Guide D,3,Demo Contact 004,Kohora Safari Gate,Mona Beel Viewing Point,Driving,Verify in Google Maps,No,Safe,Pending,Paste verified link,Awaiting route confirmation
SB005,2026-08-30,7:00,Bagori Western Range,VH005,Driver E,Guide E,5,Demo Contact 005,Bagori Safari Gate,Donga Viewing Point,Driving,Verify in Google Maps,Yes,Route Review,Confirmed,Paste verified link,Route must be checked
SB006,2026-08-30,7:15,Bagori Western Range,VH006,Driver F,Guide F,4,Demo Contact 006,Bagori Safari Gate,Rowmari Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Use approved road
SB007,2026-08-30,7:30,Bagori Western Range,VH007,Driver G,Guide G,7,Demo Contact 007,Bagori Safari Gate,Rajapukhuri Viewing Point,Driving,Verify in Google Maps,Yes,Animal Activity Nearby,Confirmed,Paste verified link,Check animal location
SB008,2026-08-30,7:45,Bagori Western Range,VH008,Driver H,Guide H,6,Demo Contact 008,Bagori Safari Gate,Mona Beel Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Afternoon return route
SB009,2026-08-30,14:00,Agoratoli Eastern Range,VH009,Driver I,Guide I,5,Demo Contact 009,Agoratoli Safari Gate,Sohola Beel Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Verify public access
SB010,2026-08-30,14:15,Agoratoli Eastern Range,VH010,Driver J,Guide J,4,Demo Contact 010,Agoratoli Safari Gate,Rangamatia Viewing Point,Driving,Verify in Google Maps,Yes,Animal Activity Nearby,Confirmed,Paste verified link,Monitor nearby sightings
SB011,2026-08-30,14:30,Agoratoli Eastern Range,VH011,Driver K,Guide K,6,Demo Contact 011,Agoratoli Safari Gate,Maklung Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Use verified destination
SB012,2026-08-30,14:45,Agoratoli Eastern Range,VH012,Driver L,Guide L,3,Demo Contact 012,Agoratoli Safari Gate,Turturoni Viewing Point,Driving,Verify in Google Maps,No,Safe,Pending,Paste verified link,Booking needs confirmation
SB013,2026-08-30,15:00,Burapahar Ghorakati Range,VH013,Driver M,Guide M,5,Demo Contact 013,Ghorakati Safari Gate,Tunikati Viewing Point,Driving,Verify in Google Maps,Yes,Route Review,Confirmed,Paste verified link,Confirm route conditions
SB014,2026-08-30,15:15,Burapahar Ghorakati Range,VH014,Driver N,Guide N,4,Demo Contact 014,Ghorakati Safari Gate,Potahi Beel Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Check road visibility
SB015,2026-08-30,15:30,Burapahar Ghorakati Range,VH015,Driver O,Guide O,6,Demo Contact 015,Ghorakati Safari Gate,Diphlu Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Return before closing
SB016,2026-08-30,15:45,Kohora Central Range,VH016,Driver P,Guide P,3,Demo Contact 016,Kohora Safari Gate,Kathpora Viewing Point,Driving,Verify in Google Maps,Yes,Restricted,Rescheduled,Paste verified link,Route changed due to alert
SB017,2026-08-30,16:00,Bagori Western Range,VH017,Driver Q,Guide Q,5,Demo Contact 017,Bagori Safari Gate,Donga Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Photography group
SB018,2026-08-30,16:15,Agoratoli Eastern Range,VH018,Driver R,Guide R,4,Demo Contact 018,Agoratoli Safari Gate,Sohola Beel Viewing Point,Driving,Verify in Google Maps,Yes,Animal Activity Nearby,Confirmed,Paste verified link,Guide must check alert
SB019,2026-08-30,16:30,Burapahar Ghorakati Range,VH019,Driver S,Guide S,6,Demo Contact 019,Ghorakati Safari Gate,Tunikati Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Final safari route
SB020,2026-08-30,16:45,Kohora Central Range,VH020,Driver T,Guide T,5,Demo Contact 020,Kohora Safari Gate,Mona Beel Viewing Point,Driving,Verify in Google Maps,No,Safe,Confirmed,Paste verified link,Return route required
